checkOut,checkIn,title,yearOut,monthOut,weekOut
1270607340,0,"Number ones",2010,4,14
1275261240,0,"Number ones",2010,5,21
1276285860,0,"Number ones",2010,6,23
1199934900,1200706440,"Number ones",2008,1,2
1199934900,1201112940,"Number ones",2008,1,2
1199934900,1201200180,"Number ones",2008,1,2
1199934900,1202283960,"Number ones",2008,1,2
1199934900,1202355660,"Number ones",2008,1,2
1199934900,1203475140,"Number ones",2008,1,2
1199934900,1203535620,"Number ones",2008,1,2
1203638460,1205449140,"Number ones",2008,2,8
1205456880,1206749700,"Number ones",2008,3,11
1207601880,1208282880,"Number ones",2008,4,15
1207601880,1208387520,"Number ones",2008,4,15
1208487480,1208895660,"Number ones",2008,4,16
1208487480,1208993460,"Number ones",2008,4,16
1209688320,1210450920,"Number ones",2008,5,18
1209688320,1210618200,"Number ones",2008,5,18
1209688320,1210705140,"Number ones",2008,5,18
1210726020,1211394180,"Number ones",2008,5,20
1211589240,1212879780,"Number ones",2008,5,21
1211589240,1213131600,"Number ones",2008,5,21
1211589240,1213219860,"Number ones",2008,5,21
1213229340,1213995540,"Number ones",2008,6,24
1213229340,1214075940,"Number ones",2008,6,24
1213229340,1215058800,"Number ones",2008,6,24
1213229340,1215113880,"Number ones",2008,6,24
1215804420,1216248660,"Number ones",2008,7,28
1215804420,1216419180,"Number ones",2008,7,28
1215804420,1216594380,"Number ones",2008,7,28
1217024580,1217731980,"Number ones",2008,7,30
1217024580,1217898120,"Number ones",2008,7,30
1218670860,1219101240,"Number ones",2008,8,33
1218670860,1219284660,"Number ones",2008,8,33
1219440780,1220645700,"Number ones",2008,8,34
1220732700,1221700140,"Number ones",2008,9,36
1220732700,1221946380,"Number ones",2008,9,36
1222307400,1222628820,"Number ones",2008,9,39
1222803540,1223324760,"Number ones",2008,9,40
1225576740,1226375220,"Number ones",2008,11,44
1227143040,1228697820,"Number ones",2008,11,47
1233696360,1233874080,"Number ones",2009,2,6
1234210980,1234472940,"Number ones",2009,2,7
1234571340,1234734060,"Number ones",2009,2,7
1234571340,1235185740,"Number ones",2009,2,7
1234571340,1235339640,"Number ones",2009,2,7
1235945100,1237674360,"Number ones",2009,3,9
1235945100,1238002380,"Number ones",2009,3,9
1238109000,1238538540,"Number ones",2009,3,13
1238969400,1243024080,"Number ones",2009,4,14
1243371960,1243632420,"Number ones",2009,5,22
1243996260,1245615420,"Number ones",2009,6,23
1245693960,1245731940,"Number ones",2009,6,26
1245975540,1247342640,"Number ones",2009,6,26
1247954340,1248663420,"Number ones",2009,7,29
1247954340,1248738600,"Number ones",2009,7,29
1249173540,1250458080,"Number ones",2009,8,31
1250987100,1252549560,"Number ones",2009,8,34
1252876800,1254001260,"Number ones",2009,9,37
1255640460,1256344260,"Number ones",2009,10,42
1256758920,1257313380,"Number ones",2009,10,44
1256758920,1257358020,"Number ones",2009,10,44
1256758920,1259785500,"Number ones",2009,10,44
1259963700,1260220500,"Number ones",2009,12,49
1259963700,1260335940,"Number ones",2009,12,49
1263158220,1263606780,"Number ones",2010,1,1
1263158220,1264208100,"Number ones",2010,1,1
1263158220,1264209180,"Number ones",2010,1,1
1263158220,1264269660,"Number ones",2010,1,1
1264468500,1265078100,"Number ones",2010,1,4
1265853420,1266023640,"Number ones",2010,2,6
1266184980,1267657860,"Number ones",2010,2,6
1270607340,1273351440,"Number ones",2010,4,14
1275261240,1275960420,"Number ones",2010,5,21
1276285860,1276897440,"Number ones",2010,6,23
1200530580,0,"Off the wall",2008,1,3
1202603700,0,"Off the wall",2008,2,6
1204143240,0,"Off the wall",2008,2,9
1205703540,0,"Off the wall",2008,3,11
1208727780,0,"Off the wall",2008,4,16
1200530580,1202168280,"Off the wall",2008,1,3
1200530580,1202333400,"Off the wall",2008,1,3
1202603700,1203799980,"Off the wall",2008,2,6
1202603700,1203995340,"Off the wall",2008,2,6
1204143240,1205350020,"Off the wall",2008,2,9
1205703540,1208132100,"Off the wall",2008,3,11
1208390460,1208390760,"Off the wall",2008,4,16
1208390460,1208463000,"Off the wall",2008,4,16
1205364480,0,"Number ones",2008,3,11
1205613960,0,"Number ones",2008,3,11
1206997860,0,"Number ones",2008,3,14
1207257720,0,"Number ones",2008,4,14
1209088320,0,"Number ones",2008,4,17
1211398800,0,"Number ones",2008,5,21
1212531060,0,"Number ones",2008,6,23
1213145940,0,"Number ones",2008,6,24
1214695920,0,"Number ones",2008,6,26
1215645780,0,"Number ones",2008,7,28
1205364480,1205536440,"Number ones",2008,3,11
1205613960,1206915600,"Number ones",2008,3,11
1206997860,1207181460,"Number ones",2008,3,14
1209088320,1210809960,"Number ones",2008,4,17
1209088320,1210989360,"Number ones",2008,4,17
1209088320,1211235420,"Number ones",2008,4,17
1211398800,1212103020,"Number ones",2008,5,21
1212531060,1212708240,"Number ones",2008,6,23
1213145940,1214082960,"Number ones",2008,6,24
1215645780,1215813960,"Number ones",2008,7,28
1200270180,0,Bad,2008,1,2
1202521320,0,Bad,2008,2,6
1208628960,0,Bad,2008,4,16
1210180920,0,Bad,2008,5,19
1211330580,0,Bad,2008,5,21
1214600340,0,Bad,2008,6,26
1215896580,0,Bad,2008,7,28
1217096100,0,Bad,2008,7,30
1218051960,0,Bad,2008,8,32
1219698840,0,Bad,2008,8,35
1220642340,0,Bad,2008,9,36
1221703980,0,Bad,2008,9,38
1229033580,0,Bad,2008,12,50
1233770820,0,Bad,2009,2,6
1235609940,0,Bad,2009,2,9
1237672440,0,Bad,2009,3,12
1238551920,0,Bad,2009,3,14
1239836340,0,Bad,2009,4,16
1241222640,0,Bad,2009,5,18
1242269160,0,Bad,2009,5,20
1242775380,0,Bad,2009,5,21
1244853600,0,Bad,2009,6,24
1245264120,0,Bad,2009,6,25
1245715560,0,Bad,2009,6,26
1248300540,0,Bad,2009,7,30
1249587540,0,Bad,2009,8,32
1200270180,1202508720,Bad,2008,1,2
1202521320,1208070000,Bad,2008,2,6
1202521320,1208373780,Bad,2008,2,6
1202521320,1208455920,Bad,2008,2,6
1208628960,1209086640,Bad,2008,4,16
1208628960,1209089040,Bad,2008,4,16
1208628960,1209494580,Bad,2008,4,16
1210180920,1210359540,Bad,2008,5,19
1210180920,1210470540,Bad,2008,5,19
1210180920,1210894860,Bad,2008,5,19
1210180920,1211056860,Bad,2008,5,19
1211330580,1214094780,Bad,2008,5,21
1214600340,1214614560,Bad,2008,6,26
1214600340,1215540300,Bad,2008,6,26
1215896580,1216842480,Bad,2008,7,28
1217096100,1217465640,Bad,2008,7,30
1217096100,1217712960,Bad,2008,7,30
1218051960,1218230940,Bad,2008,8,32
1218051960,1218496800,Bad,2008,8,32
1219698840,1219860720,Bad,2008,8,35
1219698840,1220062140,Bad,2008,8,35
1219698840,1220122440,Bad,2008,8,35
1220642340,1221092580,Bad,2008,9,36
1220642340,1221242160,Bad,2008,9,36
1220642340,1221331980,Bad,2008,9,36
1221703980,1228342860,Bad,2008,9,38
1229033580,1229727120,Bad,2008,12,50
1233770820,1234476480,Bad,2009,2,6
1235609940,1236219660,Bad,2009,2,9
1235609940,1236365100,Bad,2009,2,9
1235609940,1237568580,Bad,2009,2,9
1237672440,1237846380,Bad,2009,3,12
1237672440,1238535480,Bad,2009,3,12
1238551920,1239740400,Bad,2009,3,14
1238551920,1239817320,Bad,2009,3,14
1239836340,1240427400,Bad,2009,4,16
1239836340,1240515060,Bad,2009,4,16
1241222640,1242189840,Bad,2009,5,18
1242269160,1242353100,Bad,2009,5,20
1242775380,1244593980,Bad,2009,5,21
1244853600,1244917140,Bad,2009,6,24
1244853600,1245103800,Bad,2009,6,24
1245264120,1245362280,Bad,2009,6,25
1245264120,1245629460,Bad,2009,6,25
1245715560,1248220200,Bad,2009,6,26
1249587540,1250380320,Bad,2009,8,32
1249587540,1250628120,Bad,2009,8,32
1199409180,0,Thriller,2008,1,1
1201981260,0,Thriller,2008,2,5
1204147320,0,Thriller,2008,2,9
1204665300,0,Thriller,2008,3,10
1205366100,0,Thriller,2008,3,11
1206489360,0,Thriller,2008,3,13
1207768260,0,Thriller,2008,4,15
1209851820,0,Thriller,2008,5,18
1212276840,0,Thriller,2008,5,22
1214865240,0,Thriller,2008,6,27
1216237500,0,Thriller,2008,7,29
1219010040,0,Thriller,2008,8,33
1221336960,0,Thriller,2008,9,37
1222465080,0,Thriller,2008,9,39
1199409180,1201229160,Thriller,2008,1,1
1199409180,1201494420,Thriller,2008,1,1
1199409180,1201567980,Thriller,2008,1,1
1201981260,1203800040,Thriller,2008,2,5
1204147320,1204577460,Thriller,2008,2,9
1204665300,1204931220,Thriller,2008,3,10
1204665300,1205192220,Thriller,2008,3,10
1205366100,1205885160,Thriller,2008,3,11
1205366100,1205890020,Thriller,2008,3,11
1205366100,1206131400,Thriller,2008,3,11
1206489360,1206814860,Thriller,2008,3,13
1206489360,1207094580,Thriller,2008,3,13
1206489360,1207253520,Thriller,2008,3,13
1207768260,1209426420,Thriller,2008,4,15
1207768260,1209524640,Thriller,2008,4,15
1207768260,1209675000,Thriller,2008,4,15
1209851820,1211595840,Thriller,2008,5,18
1209851820,1211921880,Thriller,2008,5,18
1212276840,1213984260,Thriller,2008,5,22
1212276840,1214254440,Thriller,2008,5,22
1212276840,1214359080,Thriller,2008,5,22
1214865240,1215715800,Thriller,2008,6,27
1214865240,1215989940,Thriller,2008,6,27
1214865240,1216068840,Thriller,2008,6,27
1216237500,1216952520,Thriller,2008,7,29
1216237500,1217373780,Thriller,2008,7,29
1216237500,1218342780,Thriller,2008,7,29
1216237500,1218498120,Thriller,2008,7,29
1219010040,1220392260,Thriller,2008,8,33
1219010040,1220640180,Thriller,2008,8,33
1219010040,1220817060,Thriller,2008,8,33
1221336960,1222284960,Thriller,2008,9,37
1199843460,0,"Number ones",2008,1,2
1200436080,0,"Number ones",2008,1,3
1201571280,0,"Number ones",2008,1,5
1203791820,0,"Number ones",2008,2,8
1199843460,1200088500,"Number ones",2008,1,2
1200436080,1201129200,"Number ones",2008,1,3
1201571280,1203293280,"Number ones",2008,1,5
1201571280,1203493860,"Number ones",2008,1,5
1201571280,1203542220,"Number ones",2008,1,5
1203791820,1203893640,"Number ones",2008,2,8
1199579160,0,Thriller,2008,1,1
1203896820,0,Thriller,2008,2,8
1205530020,0,Thriller,2008,3,11
1209587880,0,Thriller,2008,4,18
1210807860,0,Thriller,2008,5,20
1211065260,0,Thriller,2008,5,20
1213125360,0,Thriller,2008,6,24
1214527320,0,Thriller,2008,6,26
1216679700,0,Thriller,2008,7,30
1217890860,0,Thriller,2008,8,32
1219713600,0,Thriller,2008,8,35
1220748840,0,Thriller,2008,9,36
1221531720,0,Thriller,2008,9,38
1224698400,0,Thriller,2008,10,43
1228957740,0,Thriller,2008,12,50
1230944760,0,Thriller,2009,1,1
1233799140,0,Thriller,2009,2,6
1235782740,0,Thriller,2009,2,9
1238467800,0,Thriller,2009,3,14
1242091860,0,Thriller,2009,5,20
1243027740,0,Thriller,2009,5,21
1244773200,0,Thriller,2009,6,24
1246233240,0,Thriller,2009,6,26
1249954800,0,Thriller,2009,8,33
1253057460,0,Thriller,2009,9,38
1254526260,0,Thriller,2009,10,40
1256942400,0,Thriller,2009,10,44
1259457600,0,Thriller,2009,11,48
1260662640,0,Thriller,2009,12,50
1262748780,0,Thriller,2010,1,1
1263495960,0,Thriller,2010,1,2
1264127760,0,Thriller,2010,1,3
1265249760,0,Thriller,2010,2,5
1268094420,0,Thriller,2010,3,10
1270763580,0,Thriller,2010,4,14
1272316980,0,Thriller,2010,4,17
1275525480,0,Thriller,2010,6,22
1277576700,0,Thriller,2010,6,25
1281990060,0,Thriller,2010,8,33
1286388480,0,Thriller,2010,10,40
1289260740,0,Thriller,2010,11,45
1290553920,0,Thriller,2010,11,47
