"checkOut","checkIn","title","yearOut","monthOut","weekOut","count"
1247954340,1248738600,7,2009,7,29,57
1249173540,1250458080,7,2009,8,31,56
1250987100,1252549560,7,2009,8,34,230
1252876800,1254001260,7,2009,9,37,181
1255640460,1256344260,7,2009,10,42,170
1256758920,1257313380,7,2009,10,44,197
1256758920,1257358020,7,2009,10,44,197
1256758920,1259785500,7,2009,10,44,197
1259963700,1260220500,7,2009,12,49,167
1259963700,1260335940,7,2009,12,49,167
1263158220,1263606780,7,2010,1,1,187
1263158220,1264208100,7,2010,1,1,187
1263158220,1264209180,7,2010,1,1,187
1263158220,1264269660,7,2010,1,1,187
1264468500,1265078100,7,2010,1,4,173
1265853420,1266023640,7,2010,2,6,156
1266184980,1267657860,7,2010,2,6,156
1270607340,1273351440,7,2010,4,14,157
1275261240,1275960420,7,2010,5,21,137
1276285860,1276897440,7,2010,6,23,141
1200530580,0,8,2008,1,3,50
1202603700,0,8,2008,2,6,68
1204143240,0,8,2008,2,9,53
1205703540,0,8,2008,3,11,75
1208727780,0,8,2008,4,16,84
1200530580,1202168280,8,2008,1,3,50
1200530580,1202333400,8,2008,1,3,50
1202603700,1203799980,8,2008,2,6,68
1202603700,1203995340,8,2008,2,6,68
1204143240,1205350020,8,2008,2,9,53
1205703540,1208132100,8,2008,3,11,75
1208390460,1208390760,8,2008,4,16,84
1208390460,1208463000,8,2008,4,16,84
1205364480,0,7,2008,3,11,75
1205613960,0,7,2008,3,11,75
1206997860,0,7,2008,3,14,8
1207257720,0,7,2008,4,14,45
1209088320,0,7,2008,4,17,49
1211398800,0,7,2008,5,21,85
1212531060,0,7,2008,6,23,60
1213145940,0,7,2008,6,24,74
1214695920,0,7,2008,6,26,73
1215645780,0,7,2008,7,28,80
1205364480,1205536440,7,2008,3,11,75
1205613960,1206915600,7,2008,3,11,75
1206997860,1207181460,7,2008,3,14,8
1209088320,1210809960,7,2008,4,17,49
1209088320,1210989360,7,2008,4,17,49
1209088320,1211235420,7,2008,4,17,49
1211398800,1212103020,7,2008,5,21,85
1212531060,1212708240,7,2008,6,23,60
1213145940,1214082960,7,2008,6,24,74
1215645780,1215813960,7,2008,7,28,80
1200270180,0,1,2008,1,2,51
1202521320,0,1,2008,2,6,68
1208628960,0,1,2008,4,16,84
1210180920,0,1,2008,5,19,75
1211330580,0,1,2008,5,21,85
1214600340,0,1,2008,6,26,73
1215896580,0,1,2008,7,28,80
1217096100,0,1,2008,7,30,70
1218051960,0,1,2008,8,32,82
1219698840,0,1,2008,8,35,68
1220642340,0,1,2008,9,36,60
1221703980,0,1,2008,9,38,45
1229033580,0,1,2008,12,50,44
1233770820,0,1,2009,2,6,83
1235609940,0,1,2009,2,9,75
1237672440,0,1,2009,3,12,76
1238551920,0,1,2009,3,14,8
1239836340,0,1,2009,4,16,45
1241222640,0,1,2009,5,18,25
1242269160,0,1,2009,5,20,82
1242775380,0,1,2009,5,21,83
1244853600,0,1,2009,6,24,65
1245264120,0,1,2009,6,25,51
1245715560,0,1,2009,6,26,62
1248300540,0,1,2009,7,30,93
1249587540,0,1,2009,8,32,166
1200270180,1202508720,1,2008,1,2,51
1202521320,1208070000,1,2008,2,6,68
1202521320,1208373780,1,2008,2,6,68
1202521320,1208455920,1,2008,2,6,68
1208628960,1209086640,1,2008,4,16,84
1208628960,1209089040,1,2008,4,16,84
1208628960,1209494580,1,2008,4,16,84
1210180920,1210359540,1,2008,5,19,75
1210180920,1210470540,1,2008,5,19,75
1210180920,1210894860,1,2008,5,19,75
1210180920,1211056860,1,2008,5,19,75
1211330580,1214094780,1,2008,5,21,85
1214600340,1214614560,1,2008,6,26,73
1214600340,1215540300,1,2008,6,26,73
1215896580,1216842480,1,2008,7,28,80
1217096100,1217465640,1,2008,7,30,70
1217096100,1217712960,1,2008,7,30,70
1218051960,1218230940,1,2008,8,32,82
1218051960,1218496800,1,2008,8,32,82
1219698840,1219860720,1,2008,8,35,68
1219698840,1220062140,1,2008,8,35,68
1219698840,1220122440,1,2008,8,35,68
1220642340,1221092580,1,2008,9,36,60
1220642340,1221242160,1,2008,9,36,60
1220642340,1221331980,1,2008,9,36,60
1221703980,1228342860,1,2008,9,38,45
1229033580,1229727120,1,2008,12,50,44
1233770820,1234476480,1,2009,2,6,83
1235609940,1236219660,1,2009,2,9,75
1235609940,1236365100,1,2009,2,9,75
1235609940,1237568580,1,2009,2,9,75
1237672440,1237846380,1,2009,3,12,76
1237672440,1238535480,1,2009,3,12,76
1238551920,1239740400,1,2009,3,14,8
1238551920,1239817320,1,2009,3,14,8
1239836340,1240427400,1,2009,4,16,45
1239836340,1240515060,1,2009,4,16,45
1241222640,1242189840,1,2009,5,18,25
1242269160,1242353100,1,2009,5,20,82
1242775380,1244593980,1,2009,5,21,83
1244853600,1244917140,1,2009,6,24,65
1244853600,1245103800,1,2009,6,24,65
1245264120,1245362280,1,2009,6,25,51
1245264120,1245629460,1,2009,6,25,51
1245715560,1248220200,1,2009,6,26,62
1249587540,1250380320,1,2009,8,32,166
1249587540,1250628120,1,2009,8,32,166
1199409180,0,9,2008,1,1,52
1201981260,0,9,2008,2,5,20
1204147320,0,9,2008,2,9,53
1204665300,0,9,2008,3,10,42
1205366100,0,9,2008,3,11,75
1206489360,0,9,2008,3,13,51
1207768260,0,9,2008,4,15,46
1209851820,0,9,2008,5,18,34
1212276840,0,9,2008,5,22,70
1214865240,0,9,2008,6,27,10
1216237500,0,9,2008,7,29,107
1219010040,0,9,2008,8,33,80
1221336960,0,9,2008,9,37,56
1222465080,0,9,2008,9,39,76
1199409180,1201229160,9,2008,1,1,52
1199409180,1201494420,9,2008,1,1,52
1199409180,1201567980,9,2008,1,1,52
1201981260,1203800040,9,2008,2,5,20
1204147320,1204577460,9,2008,2,9,53
1204665300,1204931220,9,2008,3,10,42
1204665300,1205192220,9,2008,3,10,42
1205366100,1205885160,9,2008,3,11,75
1205366100,1205890020,9,2008,3,11,75
1205366100,1206131400,9,2008,3,11,75
1206489360,1206814860,9,2008,3,13,51
1206489360,1207094580,9,2008,3,13,51
1206489360,1207253520,9,2008,3,13,51
1207768260,1209426420,9,2008,4,15,46
1207768260,1209524640,9,2008,4,15,46
1207768260,1209675000,9,2008,4,15,46
1209851820,1211595840,9,2008,5,18,34
1209851820,1211921880,9,2008,5,18,34
1212276840,1213984260,9,2008,5,22,70
1212276840,1214254440,9,2008,5,22,70
1212276840,1214359080,9,2008,5,22,70
1214865240,1215715800,9,2008,6,27,10
1214865240,1215989940,9,2008,6,27,10
1214865240,1216068840,9,2008,6,27,10
1216237500,1216952520,9,2008,7,29,107
1216237500,1217373780,9,2008,7,29,107
1216237500,1218342780,9,2008,7,29,107
1216237500,1218498120,9,2008,7,29,107
1219010040,1220392260,9,2008,8,33,80
1219010040,1220640180,9,2008,8,33,80
1219010040,1220817060,9,2008,8,33,80
1221336960,1222284960,9,2008,9,37,56
1199843460,0,7,2008,1,2,51
1200436080,0,7,2008,1,3,50
1201571280,0,7,2008,1,5,31
1203791820,0,7,2008,2,8,48
1199843460,1200088500,7,2008,1,2,51
1200436080,1201129200,7,2008,1,3,50
1201571280,1203293280,7,2008,1,5,31
1201571280,1203493860,7,2008,1,5,31
1201571280,1203542220,7,2008,1,5,31
1203791820,1203893640,7,2008,2,8,48
1199579160,0,9,2008,1,1,52
1203896820,0,9,2008,2,8,48
1205530020,0,9,2008,3,11,75
1209587880,0,9,2008,4,18,54
1210807860,0,9,2008,5,20,66
1211065260,0,9,2008,5,20,66
1213125360,0,9,2008,6,24,74
1214527320,0,9,2008,6,26,73
1216679700,0,9,2008,7,30,70
1217890860,0,9,2008,8,32,82
1219713600,0,9,2008,8,35,68
1220748840,0,9,2008,9,36,60
1221531720,0,9,2008,9,38,45
1224698400,0,9,2008,10,43,61
1228957740,0,9,2008,12,50,44
1230944760,0,9,2009,1,1,30
1233799140,0,9,2009,2,6,83
1235782740,0,9,2009,2,9,75
1238467800,0,9,2009,3,14,8
1242091860,0,9,2009,5,20,82
1243027740,0,9,2009,5,21,83
1244773200,0,9,2009,6,24,65
1246233240,0,9,2009,6,26,62
1249954800,0,9,2009,8,33,146
1253057460,0,9,2009,9,38,177
1254526260,0,9,2009,10,40,57
1256942400,0,9,2009,10,44,197
1259457600,0,9,2009,11,48,131
1260662640,0,9,2009,12,50,148
1262748780,0,9,2010,1,1,187
1263495960,0,9,2010,1,2,201
1264127760,0,9,2010,1,3,146
1265249760,0,9,2010,2,5,180
1268094420,0,9,2010,3,10,130
1270763580,0,9,2010,4,14,157
1272316980,0,9,2010,4,17,110
1275525480,0,9,2010,6,22,78
1277576700,0,9,2010,6,25,146
1281990060,0,9,2010,8,33,124
1286388480,0,9,2010,10,40,105
1289260740,0,9,2010,11,45,84
1290553920,0,9,2010,11,47,67
1295131260,0,9,2011,1,2,141
1297555140,0,9,2011,2,6,106
1199579160,1200016800,9,2008,1,1,52
1199579160,1200510180,9,2008,1,1,52
1199579160,1203464640,9,2008,1,1,52
1199579160,1203552840,9,2008,1,1,52
1203896820,1205103480,9,2008,2,8,48
1203896820,1205347740,9,2008,2,8,48
1203896820,1205437860,9,2008,2,8,48
1205530020,1207181520,9,2008,3,11,75
1205530020,1207333680,9,2008,3,11,75
1207702560,1208890560,9,2008,4,15,46
1207702560,1209058020,9,2008,4,15,46
1207702560,1209149160,9,2008,4,15,46
1209587880,1210189740,9,2008,4,18,54
1209587880,1210291920,9,2008,4,18,54
1209587880,1210364400,9,2008,4,18,54
1210807860,1210893840,9,2008,5,20,66
1210807860,1211056680,9,2008,5,20,66
1211065260,1212630180,9,2008,5,20,66
1213125360,1214340240,9,2008,6,24,74
1213125360,1214423100,9,2008,6,24,74
1214527320,1214694060,9,2008,6,26,73
1214527320,1215024180,9,2008,6,26,73
1214527320,1216009320,9,2008,6,26,73
1214527320,1216154160,9,2008,6,26,73
1216679700,1217630100,9,2008,7,30,70
1217890860,1219536420,9,2008,8,32,82
1217890860,1219693980,9,2008,8,32,82
1219713600,1219976400,9,2008,8,35,68
1219713600,1220050020,9,2008,8,35,68
1221531720,1223765340,9,2008,9,38,45
1221531720,1223943900,9,2008,9,38,45
1221531720,1224007680,9,2008,9,38,45
1224698400,1225231140,9,2008,10,43,61
1224698400,1225493580,9,2008,10,43,61
1224698400,1225501800,9,2008,10,43,61
1224698400,1225829940,9,2008,10,43,61
1227138060,1228347000,9,2008,11,47,63
1227138060,1228513680,9,2008,11,47,63
1227138060,1228848540,9,2008,11,47,63
1227138060,1228939500,9,2008,11,47,63
1228957740,1230753300,9,2008,12,50,44
1230944760,1232676000,9,2009,1,1,30
